Time,FSM,Event,B1,B2,B3,B4,B5,B6,B7,B8,Robot
2025-08-14 10:39:35,B1,-,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NOT_READY_IDLE
2025-08-14 10:41:34,Robot,START_PROGRAM,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:41:36,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:41:50,Robot,RUN_BASKET_TO_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_TO
2025-08-14 10:42:38,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:42:42,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:42:56,Robot,RUN_BASKET_FROM_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_FR
2025-08-14 10:44:02,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:44:05,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:44:08,Robot,RUN_BASKET_TO_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_TO
2025-08-14 10:45:26,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:45:29,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:45:47,Robot,RUN_BASKET_FROM_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_FR
2025-08-14 10:46:52,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:46:55,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:46:56,Robot,RUN_BASKET_TO_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_TO
2025-08-14 10:47:42,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:47:47,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:48:01,Robot,RUN_BASKET_FROM_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_FR
2025-08-14 10:49:14,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:49:19,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:49:45,Robot,RUN_BASKET_TO_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_TO
2025-08-14 10:50:34,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_TO_READY
2025-08-14 10:50:39,Robot,DONE,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,READY_IDLE
2025-08-14 10:50:54,Robot,RUN_BASKET_FROM_FRYER,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,NO_MENU,MOVE_BASKET_FR
