basket_name,recipe_index,start_time,end_time,process_type
Basket 1,테스트,2025-09-12 14:40:51,2025-09-12 14:41:50,dry
Basket 1,테스트,2025-09-12 14:51:38,2025-09-12 14:54:50,dry
Basket 2,테스트,2025-09-12 14:52:48,2025-09-12 14:55:59,dry
Basket 5,테스트,2025-09-12 14:54:04,2025-09-12 14:57:15,dry
Basket 3,테스트,2025-09-12 14:58:34,2025-09-12 15:01:46,dry
Basket 4,테스트,2025-09-12 14:59:48,2025-09-12 15:02:59,dry
Basket 7,테스트,2025-09-12 15:01:06,2025-09-12 15:04:17,dry
Basket 6,테스트,2025-09-12 15:05:37,2025-09-12 15:08:48,dry
Basket 8,테스트,2025-09-12 15:10:17,2025-09-12 15:13:28,dry
Basket 1,테스트,2025-09-12 16:05:24,2025-09-12 16:08:36,dry
Basket 2,테스트,2025-09-12 16:06:34,2025-09-12 16:09:45,dry
Basket 5,테스트,2025-09-12 16:07:50,2025-09-12 16:11:01,dry
