basket_name,recipe_index,start_time,end_time,process_type
Basket 1,만두,2025-09-06 17:39:02,2025-09-06 17:40:14,dry
Basket 1,만두,2025-09-06 17:42:41,2025-09-06 17:43:54,dry
Basket 1,만두,2025-09-06 19:38:45,2025-09-06 19:39:58,dry
Basket 1,만두,2025-09-06 19:41:30,2025-09-06 19:42:43,dry
Basket 2,만두,2025-09-06 19:54:42,2025-09-06 19:55:55,dry
Basket 3,만두,2025-09-06 19:57:08,2025-09-06 19:58:20,dry
Basket 1,만두,2025-09-06 20:00:17,2025-09-06 20:01:29,dry
Basket 2,만두,2025-09-06 20:02:42,2025-09-06 20:03:55,dry
Basket 3,만두,2025-09-06 20:05:08,2025-09-06 20:06:20,dry
Basket 4,만두,2025-09-06 20:07:40,2025-09-06 20:08:53,dry
Basket 5,만두,2025-09-06 20:10:12,2025-09-06 20:11:23,dry
Basket 1,만두,2025-09-06 20:14:29,2025-09-06 20:15:41,dry
Basket 1,만두,2025-09-06 20:46:32,2025-09-06 20:47:44,dry
Basket 3,만두,2025-09-06 20:48:59,2025-09-06 20:49:34,dry
Basket 2,만두,2025-09-06 20:50:50,2025-09-06 20:52:04,dry
Basket 3,만두,2025-09-06 20:53:17,2025-09-06 20:54:29,dry
Basket 1,만두,2025-09-06 20:57:29,2025-09-06 20:58:40,dry
Basket 2,만두,2025-09-06 20:59:53,2025-09-06 21:01:06,dry
Basket 3,만두,2025-09-06 21:02:20,2025-09-06 21:03:31,dry
Basket 4,만두,2025-09-06 21:04:52,2025-09-06 21:06:05,dry
Basket 5,만두,2025-09-06 21:07:24,2025-09-06 21:08:35,dry
Basket 7,만두,2025-09-06 21:10:03,2025-09-06 21:11:14,dry
